issf_core_id,attribute__attribute_label,value,attribute_value__value_label,country,region
2520,Main gear type(s):,,Surrounding nets,Brazil,Latin America and the Caribbean
3590,Main gear type(s):,,Surrounding nets,Mauritania,Africa
3159,Main gear type(s):,,Surrounding nets,Malta,Europe
2479,Main gear type(s):,,Surrounding nets,Brazil,Latin America and the Caribbean
3589,Main gear type(s):,,Surrounding nets,Senegal,Africa
3598,Main gear type(s):,,Surrounding nets,Cape Verde,Africa
3566,Main gear type(s):,,Surrounding nets,Cameroon,Africa
3161,Main gear type(s):,,Surrounding nets,Mozambique,Africa
3697,Main gear type(s):,,Surrounding nets,Zambia,Africa
3640,Main gear type(s):,,Surrounding nets,Zimbabwe,Africa
3185,Main gear type(s):,,Surrounding nets,Spain,Europe
3642,Main gear type(s):,,Surrounding nets,Kenya,Africa
3563,Main gear type(s):,,Surrounding nets,Nigeria,Africa
2128,Main gear type(s):,,Traps,Thailand,Asia and Oceania
2422,Main gear type(s):,,Traps,Greenland,Europe
3631,Main gear type(s):,,Traps,Zimbabwe,Africa
2436,Main gear type(s):,,Traps,Colombia,Latin America and the Caribbean
3796,Main gear type(s):,,Traps,Bangladesh,Asia and Oceania
3181,Main gear type(s):,,Traps,Spain,Europe
3161,Main gear type(s):,,Traps,Mozambique,Africa
2144,Main gear type(s):,,Traps,Cambodia,Asia and Oceania
3235,Main gear type(s):,,Traps,Turks and Caicos Is.,Latin America and the Caribbean
3561,Main gear type(s):,,Traps,Nigeria,Africa
3159,Main gear type(s):,,Traps,Malta,Europe
3578,Main gear type(s):,,Traps,Nigeria,Africa
3653,Main gear type(s):,,Traps,Philippines,Asia and Oceania
3339,Main gear type(s):,,Traps,Lao PDR,Asia and Oceania
3191,Main gear type(s):,,Traps,France,Europe
2410,Main gear type(s):,,Traps,Canada,North America and Canada
3338,Main gear type(s):,,Traps,Lao PDR,Asia and Oceania
3179,Main gear type(s):,,Traps,Spain,Europe
3553,Main gear type(s):,,Traps,Ghana,Africa
3664,Main gear type(s):,,Traps,Philippines,Asia and Oceania
3272,Main gear type(s):,,Traps,Canada,North America and Canada
2342,Main gear type(s):,,Traps,Cyprus,Europe
2677,Main gear type(s):,,Traps,Greece,Europe
3563,Main gear type(s):,,Traps,Nigeria,Africa
2169,Main gear type(s):,,Traps,Colombia,Latin America and the Caribbean
3583,Main gear type(s):,,Traps,Sierra Leone,Africa
3570,Main gear type(s):,,Traps,Malawi,Africa
2141,Main gear type(s):,,Traps,Thailand,Asia and Oceania
3643,Main gear type(s):,,Traps,South Africa,Africa
2549,Main gear type(s):,,Traps,New Caledonia,Asia and Oceania
2477,Main gear type(s):,,Traps,Colombia,Latin America and the Caribbean
2213,Main gear type(s):,,Traps,Nigeria,Africa
3589,Main gear type(s):,,Traps,Senegal,Africa
2387,Main gear type(s):,,Traps,Nicaragua,Latin America and the Caribbean
2534,Main gear type(s):,,Traps,Brazil,Latin America and the Caribbean
2429,Main gear type(s):,,Traps,Philippines,Asia and Oceania
2409,Main gear type(s):,,Traps,Argentina,Latin America and the Caribbean
2385,Main gear type(s):,,Traps,United States of America,North America and Canada
3390,Main gear type(s):,,Traps,Italy,Europe
2140,Main gear type(s):,,Traps,Brazil,Latin America and the Caribbean
2543,Main gear type(s):,,Traps,Indonesia,Asia and Oceania
3642,Main gear type(s):,,Traps,Kenya,Africa
3580,Main gear type(s):,,Traps,Liberia,Africa
3202,Main gear type(s):,,Traps,Greece,Europe
3592,Main gear type(s):,,Traps,Gambia,Africa
2425,Main gear type(s):,,Traps,United States of America,North America and Canada
2295,Main gear type(s):,,Traps,Senegal,Africa
3432,Main gear type(s):,,Traps,Jamaica,Latin America and the Caribbean
2533,Main gear type(s):,,Traps,Brazil,Latin America and the Caribbean
3559,Main gear type(s):,,Traps,Nigeria,Africa
2137,Main gear type(s):,,Traps,South Africa,Africa
3560,Main gear type(s):,,Traps,Ghana,Africa
3640,Main gear type(s):,,Traps,Zimbabwe,Africa
3569,Main gear type(s):,,Traps,Nigeria,Africa
3405,Main gear type(s):,,Traps,United States of America,North America and Canada
2404,Main gear type(s):,,Traps,Thailand,Asia and Oceania
3634,Main gear type(s):,,Traps,Nigeria,Africa
3387,Main gear type(s):,,Traps,Netherlands,Europe
2341,Main gear type(s):,,Traps,Portugal,Europe
2419,Main gear type(s):,,Traps,Ireland,Europe
2514,Main gear type(s):,,Traps,Tanzania,Africa
3564,Main gear type(s):,,Traps,Nigeria,Africa
2518,Main gear type(s):,,Traps,Brazil,Latin America and the Caribbean
2343,Main gear type(s):,,Traps,Tanzania,Africa
3573,Main gear type(s):,,Traps,Tanzania,Africa
3172,Main gear type(s):,,Traps,Spain,Europe
2384,Main gear type(s):,,Traps,Mexico,Latin America and the Caribbean
3811,Main gear type(s):,,Traps,Turkey,Europe
3686,Main gear type(s):,,Traps,Canada,North America and Canada
2535,Main gear type(s):,,Traps,Brazil,Latin America and the Caribbean
3667,Main gear type(s):,,Traps,Philippines,Asia and Oceania
3798,Main gear type(s):,,Traps,Bangladesh,Asia and Oceania
3591,Main gear type(s):,,Traps,Cote d'Ivoire,Africa
2414,Main gear type(s):,,Traps,Senegal,Africa
3407,Main gear type(s):,,Traps,Nigeria,Africa
3577,Main gear type(s):,,Traps,South Africa,Africa
3185,Main gear type(s):,,Traps,Spain,Europe
3230,Main gear type(s):,,Traps,Bangladesh,Asia and Oceania
3320,Main gear type(s):,,Traps,Lao PDR,Asia and Oceania
2142,Main gear type(s):,,Traps,Thailand,Asia and Oceania
2389,Main gear type(s):,,Traps,South Africa,Africa
2386,Main gear type(s):,,Traps,Belize,Latin America and the Caribbean
